,Date,Bike Usage,Day
356,2020-02-09,1873.5,7.0
357,2020-02-10,6258.0,1.0
358,2020-02-11,6126.0,2.0
359,2020-02-12,6938.5,3.0
360,2020-02-13,7423.0,4.0
361,2020-02-14,6839.5,5.0
362,2020-02-15,2554.5,6.0
363,2020-02-16,2591.5,7.0
364,2020-02-17,6547.0,1.0
365,2020-02-18,6536.5,2.0
366,2020-02-19,6450.5,3.0
367,2020-02-20,6675.5,4.0
368,2020-02-21,6389.0,5.0
369,2020-02-22,3550.0,6.0
370,2020-02-23,3061.5,7.0
371,2020-02-24,6391.5,1.0
372,2020-02-25,6884.5,2.0
373,2020-02-26,6977.5,3.0
374,2020-02-27,7213.5,4.0
375,2020-02-28,6814.5,5.0
376,2020-02-29,2672.0,6.0
377,2020-03-01,2941.5,7.0
378,2020-03-02,6513.0,1.0
379,2020-03-03,7302.0,2.0
380,2020-03-04,7469.5,3.0
381,2020-03-05,7210.0,4.0
382,2020-03-06,6918.5,5.0
383,2020-03-07,3496.0,6.0
384,2020-03-08,2858.0,7.0
385,2020-03-09,5538.5,1.0
386,2020-03-10,6524.0,2.0
387,2020-03-11,6195.5,3.0
388,2020-03-12,5929.0,4.0
389,2020-03-13,5112.0,5.0
390,2020-03-14,2694.0,6.0
391,2020-03-15,2352.0,7.0
392,2020-03-16,2776.0,1.0
393,2020-03-17,1800.5,2.0
394,2020-03-18,3470.5,3.0
395,2020-03-19,3362.0,4.0
396,2020-03-20,3071.5,5.0
397,2020-03-21,1935.0,6.0
398,2020-03-22,1950.0,7.0
399,2020-03-23,2758.0,1.0
400,2020-03-24,2664.5,2.0
401,2020-03-25,2585.0,3.0
402,2020-03-26,2471.0,4.0
